objectid,stationid,sampledate,latitude,longitude,watershed,river_sitedescription,debriscategory,debrisitem,resulttotal
481,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Plastic,Plastic Other,1
482,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Biohazard,Human Waste/Diapers/TP,1
483,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Biohazard,Biohazard Other,1
467,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Plastic,Bag - single use,36
485,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Miscellaneous,Mylar balloons,1
486,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Metal,Aluminum Foil pieces,3
487,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Metal,Aluminum or Steel Cans,28
484,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Construction,Construction Other,4
475,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Plastic,Soft Plastic Pieces,33
477,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Plastic,Foam Cups,6
491,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Metal,Small Batteries,4
476,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Plastic,Hard Plastic Pieces,41
480,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Plastic,Tarp,2
493,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Metal,"Wire (barb, chicken, etc.)",1
495,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Biodegradable,Paper/ cardboard,5
496,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Biodegradable,Food Waste,1
497,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Fabric_Cloth,Synthetic Fabric,7
498,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Fabric_Cloth,"Natural (Cotton, Wool)",3
499,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Fabric_Cloth,Shoes,3
500,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Fabric_Cloth,Fabric Other,1
488,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Metal,Metal Bottle Caps,2
489,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Metal,Metal Pipe/Bar Segments,9
